id	region	mode	port	equiv	rip	deep	directed	diverged_state	outputs
221	engine_ctrl	cnot1	A[0]	not_proven	not_activated	killed	survived		
224	engine_ctrl	const0	Y[21]	not_proven	not_activated	survived	survived		
225	engine_ctrl	const0	A[5]	not_proven	not_activated	survived	survived		
226	engine_ctrl	const0	Y[14]	not_proven	not_activated	survived	survived		
231	engine_ctrl	const0	Y[12]	not_proven	internal_only	survived	killed	completed_instructions:5	
233	engine_ctrl	cnot1	A[10]	not_proven	not_activated	survived	survived		
234	engine_ctrl	const0	A[9]	not_proven	internal_only	survived	survived	wait_timer_1:5	
240	engine_ctrl	const1	Y[1]	not_proven	internal_only	killed	survived	blocked_cycles:40759	
241	engine_ctrl	const1	B[14]	not_proven	internal_only	killed	survived	blocked_cycles_0:4104	
246	engine_ctrl	const1	A[12]	not_proven	internal_only	killed	killed	blocked_cycles_2:70503	
251	engine_ctrl	const0	B[16]	not_proven	not_activated	survived	survived		
254	engine_ctrl	cnot1	A[16]	not_proven	not_activated	survived	survived		
257	engine_ctrl	const0	Y[22]	not_proven	not_activated	survived	survived		
261	engine_ctrl	cnot1	Y[5]	not_proven	not_activated	survived	survived		
262	engine_ctrl	const0	B[2]	equivalent	not_activated	survived	survived		
265	engine_ctrl	const0	B[17]	equivalent	not_activated	survived	survived		
266	engine_ctrl	cnot1	Y[10]	not_proven	not_activated	survived	survived		
268	engine_ctrl	cnot1	D[2]	not_proven	not_activated	survived	killed		
271	engine_ctrl	const0	Y[13]	not_proven	not_activated	survived	killed		
275	engine_ctrl	const1	B[17]	not_proven	internal_only	killed	survived	blocked_cycles:745	
276	engine_ctrl	cnot1	A[22]	not_proven	not_activated	survived	survived		
277	engine_ctrl	const0	B[20]	equivalent	not_activated	survived	survived		
279	engine_ctrl	const0	A[22]	not_proven	not_activated	survived	survived		
282	engine_ctrl	const0	B[25]	not_proven	not_activated	survived	survived		
284	engine_ctrl	const0	Q[17]	not_proven	internal_only	survived	survived	completed_instructions_0:5	
285	engine_ctrl	const0	A[17]	not_proven	not_activated	survived	survived		
287	engine_ctrl	cnot1	A[5]	not_proven	not_activated	survived	survived		
