id	region	mode	final	fast	full	equiv	deep	directed
100	engine_ctrl	const1	killed_fast	killed	-	-	-	-
101	engine_ctrl	inv	killed_fast	killed	-	-	-	-
102	engine_ctrl	cnot1	survived	survived	survived	equivalent	survived	survived
103	engine_ctrl	cnot1	survived	survived	survived	equivalent	survived	survived
104	engine_ctrl	const0	survived	survived	survived	not_proven	survived	survived
105	engine_ctrl	cnot0	survived	survived	survived	not_proven	survived	survived
106	engine_ctrl	cnot0	killed_fast	killed	-	-	-	-
107	engine_ctrl	const1	survived	survived	survived	not_proven	killed	survived
108	engine_ctrl	cnot0	killed_fast	killed	-	-	-	-
109	engine_ctrl	cnot0	killed_fast	killed	-	-	-	-
110	engine_ctrl	inv	killed_fast	killed	-	-	-	-
111	engine_ctrl	const1	killed_fast	killed	-	-	-	-
112	engine_ctrl	inv	killed_fast	killed	-	-	-	-
113	engine_ctrl	const0	survived	survived	survived	not_proven	survived	survived
114	engine_ctrl	const1	killed_fast	killed	-	-	-	-
115	engine_ctrl	const1	killed_fast	killed	-	-	-	-
116	engine_ctrl	const0	survived	survived	survived	not_proven	survived	survived
117	engine_ctrl	const1	killed_full	survived	killed	-	-	-
118	engine_ctrl	const1	survived	survived	survived	not_proven	survived	survived
119	engine_ctrl	cnot1	survived	survived	survived	equivalent	survived	survived
120	engine_ctrl	cnot1	killed_full	survived	killed	-	-	-
121	engine_ctrl	const1	killed_fast	killed	-	-	-	-
122	engine_ctrl	inv	killed_fast	killed	-	-	-	-
123	engine_ctrl	cnot0	killed_fast	killed	-	-	-	-
124	engine_ctrl	const0	survived	survived	survived	not_proven	survived	killed
125	engine_ctrl	cnot0	killed_full	survived	killed	-	-	-
126	engine_ctrl	cnot1	survived	survived	survived	not_proven	survived	survived
127	engine_ctrl	const0	killed_fast	killed	-	-	-	-
128	engine_ctrl	const1	killed_full	survived	killed	-	-	-
129	engine_ctrl	inv	killed_full	survived	killed	-	-	-
130	engine_ctrl	const1	killed_fast	killed	-	-	-	-
131	engine_ctrl	cnot0	killed_fast	killed	-	-	-	-
132	engine_ctrl	const1	survived	survived	survived	not_proven	killed	survived
133	engine_ctrl	inv	killed_fast	killed	-	-	-	-
134	engine_ctrl	const1	killed_fast	killed	-	-	-	-
135	engine_ctrl	inv	killed_fast	killed	-	-	-	-
136	engine_ctrl	const1	killed_full	survived	killed	-	-	-
137	engine_ctrl	const0	killed_fast	killed	-	-	-	-
138	engine_ctrl	cnot1	survived	survived	survived	not_proven	survived	survived
139	engine_ctrl	const0	survived	survived	survived	not_proven	survived	survived
140	engine_ctrl	const0	survived	survived	survived	not_proven	survived	survived
141	engine_ctrl	const0	survived	survived	survived	not_proven	survived	survived
142	engine_ctrl	inv	killed_full	survived	killed	-	-	-
143	engine_ctrl	const1	survived	survived	survived	not_proven	survived	survived
144	engine_ctrl	cnot1	killed_full	survived	killed	-	-	-
145	engine_ctrl	const0	survived	survived	survived	not_proven	survived	survived
146	engine_ctrl	const1	killed_fast	killed	-	-	-	-
147	engine_ctrl	const0	killed_full	survived	killed	-	-	-
148	engine_ctrl	inv	killed_full	survived	killed	-	-	-
149	engine_ctrl	const0	survived	survived	survived	not_proven	killed	survived
150	engine_ctrl	const1	killed_full	survived	killed	-	-	-
151	engine_ctrl	cnot0	killed_fast	killed	-	-	-	-
152	engine_ctrl	const1	killed_fast	killed	-	-	-	-
153	engine_ctrl	cnot0	killed_fast	killed	-	-	-	-
154	engine_ctrl	cnot0	killed_fast	killed	-	-	-	-
155	engine_ctrl	cnot1	survived	survived	survived	equivalent	survived	survived
156	engine_ctrl	const1	killed_full	survived	killed	-	-	-
157	engine_ctrl	cnot1	survived	survived	survived	not_proven	survived	survived
158	engine_ctrl	const0	killed_fast	killed	-	-	-	-
159	engine_ctrl	cnot1	survived	survived	survived	not_proven	survived	survived
160	engine_ctrl	const0	survived	survived	survived	not_proven	survived	survived
161	engine_ctrl	const0	killed_fast	killed	-	-	-	-
162	engine_ctrl	inv	killed_fast	killed	-	-	-	-
163	engine_ctrl	const1	killed_fast	killed	-	-	-	-
164	engine_ctrl	const1	killed_fast	killed	-	-	-	-
165	engine_ctrl	cnot1	killed_fast	killed	-	-	-	-
166	engine_ctrl	cnot0	killed_fast	killed	-	-	-	-
167	engine_ctrl	cnot0	killed_fast	killed	-	-	-	-
168	engine_ctrl	const1	killed_fast	killed	-	-	-	-
169	engine_ctrl	const0	survived	survived	survived	not_proven	survived	survived
170	engine_ctrl	const0	survived	survived	survived	not_proven	survived	survived
171	engine_ctrl	cnot1	survived	survived	survived	not_proven	survived	survived
172	engine_ctrl	const1	killed_full	survived	killed	-	-	-
173	engine_ctrl	const0	survived	survived	survived	not_proven	survived	survived
174	engine_ctrl	cnot1	survived	survived	survived	not_proven	survived	killed
175	engine_ctrl	cnot1	survived	survived	survived	not_proven	survived	survived
176	engine_ctrl	cnot0	killed_fast	killed	-	-	-	-
177	engine_ctrl	const1	killed_fast	killed	-	-	-	-
178	engine_ctrl	inv	killed_fast	killed	-	-	-	-
179	engine_ctrl	inv	killed_fast	killed	-	-	-	-
180	engine_ctrl	inv	killed_fast	killed	-	-	-	-
181	engine_ctrl	cnot0	killed_full	survived	killed	-	-	-
182	engine_ctrl	const0	survived	survived	survived	not_proven	survived	survived
183	engine_ctrl	const1	killed_full	survived	killed	-	-	-
184	engine_ctrl	const1	killed_fast	killed	-	-	-	-
185	engine_ctrl	cnot1	survived	survived	survived	not_proven	survived	survived
186	engine_ctrl	const0	survived	survived	survived	equivalent	survived	survived
187	engine_ctrl	cnot0	killed_fast	killed	-	-	-	-
188	engine_ctrl	const1	survived	survived	survived	not_proven	survived	survived
189	engine_ctrl	inv	survived	survived	survived	not_proven	survived	survived
190	engine_ctrl	inv	killed_fast	killed	-	-	-	-
191	engine_ctrl	inv	survived	survived	survived	not_proven	survived	survived
192	engine_ctrl	cnot1	survived	survived	survived	not_proven	survived	survived
193	engine_ctrl	cnot0	killed_full	survived	killed	-	-	-
194	engine_ctrl	const0	killed_full	survived	killed	-	-	-
195	engine_ctrl	cnot1	survived	survived	survived	not_proven	survived	killed
196	engine_ctrl	inv	survived	survived	survived	not_proven	survived	survived
197	engine_ctrl	cnot1	killed_full	survived	killed	-	-	-
198	engine_ctrl	cnot0	killed_fast	killed	-	-	-	-
