task	status	expect	met	wall_s	deepest_step	slurm	partition	failed_assertions	run	engine_verdict
neg_rr_no_advance@smtbmc-bitwuzla	FAIL	FAIL	yes	107.9	4	23756749_47	mit_preemptable	spec_bound_grant (rr_bound.sv:48)	props2	FAIL
neg_rr_no_advance@smtbmc-yices	FAIL	FAIL	yes	5.0	4	23756749_46	mit_preemptable	spec_bound_grant (rr_bound.sv:48)	props2	FAIL
pin_any_cover@smtbmc-bitwuzla	PASS	PASS	yes	77.2	2	23767452_3	mit_normal		props5	pass
pin_any_cover@smtbmc-yices	PASS	PASS	yes	5.0	2	23767452_2	mit_normal		props5	pass
pin_bmc40@abc-bmc3	PASS	PASS	yes	61.0	39	23756748_40	mit_preemptable		props2	PASS
pin_bmc40@btor-btormc	PASS	PASS	yes	32.3		23756748_41	mit_preemptable		props2	pass
pin_bmc40@smtbmc-bitwuzla	PASS	PASS	yes	215.6	39	23756748_38	mit_preemptable		props2	pass
pin_bmc40@smtbmc-boolector	PASS	PASS	yes	168.2	39	23756748_39	mit_preemptable		props2	pass
pin_bmc40@smtbmc-yices	PASS	PASS	yes	260.6	39	23756748_37	mit_preemptable		props2	pass
pin_cover@smtbmc-yices	FAIL	PASS	no	1550.0	59	23756748_42	mit_preemptable		props2	FAIL
pin_prove@abc-pdr	PASS	PASS	yes	77.5		23756749_57	mit_preemptable		props2	PASS
pin_prove@aiger-rIC3	PASS	PASS	yes	129.0		23756749_58	mit_preemptable		props2	PASS
pin_prove@aiger-suprove	PASS	PASS	yes	711.0		23756749_59	mit_preemptable		props2	PASS
pin_prove@smtbmc-bitwuzla	PASS	PASS	yes	6.6	3	23756749_55	mit_preemptable		props2	pass
pin_prove@smtbmc-boolector	PASS	PASS	yes	4.6	3	23756749_56	mit_preemptable		props2	pass
pin_prove@smtbmc-yices	PASS	PASS	yes	5.4	3	23756749_54	mit_preemptable		props2	pass
rr_bmc24@abc-bmc3	PASS	PASS	yes	17.7	23	23756749_43	mit_preemptable		props2	PASS
rr_bmc24@smtbmc-yices	PASS	PASS	yes	87.8	23	23756749_42	mit_normal		props2	pass
rr_cover@smtbmc-bitwuzla	PASS	PASS	yes	472.9	4	23756749_45	mit_preemptable		props2	pass
rr_cover@smtbmc-yices	PASS	PASS	yes	13.5	4	23756749_44	mit_preemptable		props2	pass
rr_prove@abc-pdr	PASS	PASS	yes	10.5		23756749_39	mit_normal		props2	PASS
rr_prove@aiger-rIC3	PASS	PASS	yes	16.4		23756749_40	mit_normal		props2	PASS
rr_prove@aiger-suprove	PASS	PASS	yes	12.4		23756749_41	mit_normal		props2	PASS
rr_prove@smtbmc-bitwuzla	PASS	PASS	yes	5.5	3	23756749_37	mit_preemptable		props2	pass
rr_prove@smtbmc-boolector	PASS	PASS	yes	3.6	3	23756749_38	mit_normal		props2	pass
rr_prove@smtbmc-yices	PASS	PASS	yes	4.2	3	23756749_36	mit_preemptable		props2	pass
xcheck_ti_neg_mutant@abc-bmc3	ERROR	FAIL	no	28.1	3	23770778_1	mit_preemptable		xcheck	FAIL
xcheck_ti_neg_mutant@aiger-rIC3	ERROR	FAIL	no	86.8		23770778_0	mit_preemptable		xcheck	FAIL
xcheck_ti_neg_mutant@btor-btormc	FAIL	FAIL	yes	3.8		23770778_2	mit_preemptable		xcheck	FAIL
xcheck_ti_neg_pull@abc-bmc3	ERROR	FAIL	no	24.8	2	23770778_4	mit_preemptable		xcheck	FAIL
xcheck_ti_neg_pull@aiger-rIC3	ERROR	FAIL	no	136.4		23770778_3	mit_preemptable		xcheck	FAIL
xcheck_ti_neg_pull@btor-btormc	FAIL	FAIL	yes	5.2		23770778_5	mit_preemptable		xcheck	FAIL
